,Birth Rate,CO2 Emissions,Days to Start Business,GDP,Health Exp % GDP,Health Exp/Capita,Infant Mortality Rate,Internet Usage,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound
41,0.045538461538461535,2201.6363636363635,116.5,15876221922.538462,0.05815384615384615,10.846153846153847,0.10230769230769231,0.0,49.53846153846154,46.46153846153846,0.10769230769230768,0.45961538461538465,0.5120769230769231,0.028,55848671.384615384,0.37984615384615383,7587500.0
42,0.03884615384615385,1318.4545454545455,99.0,7765814005.461538,0.02453846153846154,49.69230769230769,0.05730769230769231,0.02307692307692308,56.23076923076923,53.61538461538461,0.3923076923076923,0.42153846153846153,0.5436923076923077,0.034923076923076925,3686305.3076923075,0.6142307692307691,31587500.0
43,0.01730769230769231,7132.0,68.5,25865073684.0,0.08515384615384615,514.9230769230769,0.009384615384615384,0.2692307692307692,81.0,76.38461538461539,0.3923076923076923,0.2743076923076923,0.6652307692307692,0.06053846153846154,4382849.307692308,0.6676923076923077,1895846153.8461537
44,0.03692307692307692,6833.181818181818,43.4,17948124873.384617,0.061153846153846156,62.07692307692308,0.08653846153846154,0.0,48.76923076923077,47.23076923076923,0.37692307692307697,0.4206153846153846,0.5494615384615386,0.029923076923076924,17796443.692307692,0.4766153846153846,104727272.72727273
45,0.009538461538461539,22300.0,20.3,46814333238.92308,0.0713846153846154,770.0,0.005615384615384615,0.36153846153846153,79.0,72.15384615384616,0.8384615384615385,0.15946153846153846,0.6709230769230771,0.16984615384615387,4410195.923076923,0.5668461538461538,7462538461.538462
46,0.011153846153846153,27902.81818181818,27.7,48281660833.333336,0.08446153846153846,402.0769230769231,0.005538461538461539,0.10769230769230768,80.0,76.0,0.03076923076923077,0.1906153846153846,0.696076923076923,0.11323076923076923,11258008.153846154,0.7616923076923078,2219538461.5384617
47,0.013428571428571429,7856.454545454545,27.7,17065916293.76923,0.06076923076923077,219.3846153846154,0.020000000000000004,0.23925753476004732,79.6,72.2,1.375,0.21376923076923077,0.6643846153846155,0.12184615384615385,139921.23076923078,0.9038461538461539,340538461.53846157
48,0.01223076923076923,7608.363636363636,8.0,18121408073.46154,0.06623076923076923,1537.6923076923076,0.004,0.38461538461538464,80.92307692307692,76.6923076923077,0.7153846153846154,0.19592307692307692,0.6946923076923077,0.10969230769230769,1043033.5384615385,0.6809999999999999,2567230769.230769
49,0.010076923076923077,119879.27272727272,26.1,146416234882.23077,0.07,1006.0,0.004230769230769231,0.4461538461538461,79.61538461538461,73.38461538461539,1.0692307692307692,0.14915384615384614,0.7050769230769232,0.14576923076923076,10316804.153846154,0.7353846153846154,6137461538.461538
50,0.011692307692307693,49274.181818181816,6.2,262426388485.07693,0.10069230769230769,4910.615384615385,0.003923076923076923,0.7769230769230769,80.38461538461539,76.0,1.0384615384615385,0.1839230769230769,0.659076923076923,0.157,5454931.692307692,0.8607692307692307,5409538461.538462
51,0.028923076923076923,463.3636363636364,37.0,865215746.6923077,0.07246153846153845,76.3076923076923,0.0693076923076923,0.02307692307692308,60.23076923076923,57.23076923076923,0.09230769230769233,0.3690769230769231,0.5966153846153847,0.03430769230769231,789002.4615384615,0.7681538461538462,11115384.615384616
